id,tipo,anio,mesnom,mes,valor
2,Exportaciones,1998,SEPTIEMBRE,9,1740951000
2,Exportaciones,1998,OCTUBRE,10,1820898000
2,Exportaciones,1998,NOVIEMBRE,11,1807468000
2,Exportaciones,1998,DICIEMBRE,12,1996638000
2,Exportaciones,1999,ENERO,1,1532949000
2,Exportaciones,1999,FEBRERO,2,1840735000
2,Exportaciones,1999,MARZO,3,1994902000
2,Exportaciones,1999,ABRIL,4,1894697000
2,Exportaciones,1999,MAYO,5,1887679000
2,Exportaciones,1999,JUNIO,6,2100433000
2,Exportaciones,1999,JULIO,7,1936966000
2,Exportaciones,1999,AGOSTO,8,2034420000
2,Exportaciones,1999,SEPTIEMBRE,9,2212176000
2,Exportaciones,1999,OCTUBRE,10,2092932000
2,Exportaciones,1999,NOVIEMBRE,11,1861143000
2,Exportaciones,1999,DICIEMBRE,12,2053111000
2,Exportaciones,2000,ENERO,1,1928171000
2,Exportaciones,2000,FEBRERO,2,2252294000
2,Exportaciones,2000,MARZO,3,2156236000
2,Exportaciones,2000,ABRIL,4,2061117000
2,Exportaciones,2000,MAYO,5,2431558000
2,Exportaciones,2000,JUNIO,6,2414840000
2,Exportaciones,2000,JULIO,7,2248225000
2,Exportaciones,2000,AGOSTO,8,2447056000
2,Exportaciones,2000,SEPTIEMBRE,9,2277514000
2,Exportaciones,2000,OCTUBRE,10,2915729000
2,Exportaciones,2000,NOVIEMBRE,11,2899294000
2,Exportaciones,2000,DICIEMBRE,12,2125883000
2,Exportaciones,2001,ENERO,1,2163740000
2,Exportaciones,2001,FEBRERO,2,2006079000
2,Exportaciones,2001,MARZO,3,2414189000
2,Exportaciones,2001,ABRIL,4,2119942000
2,Exportaciones,2001,MAYO,5,2628968000
2,Exportaciones,2001,JUNIO,6,2525623000
2,Exportaciones,2001,JULIO,7,2221911000
2,Exportaciones,2001,AGOSTO,8,2507916000
2,Exportaciones,2001,SEPTIEMBRE,9,2402173000
2,Exportaciones,2001,OCTUBRE,10,2575458000
2,Exportaciones,2001,NOVIEMBRE,11,2305816000
2,Exportaciones,2001,DICIEMBRE,12,2046540000
2,Exportaciones,2002,ENERO,1,2085822000
2,Exportaciones,2002,FEBRERO,2,2169283000
2,Exportaciones,2002,MARZO,3,2115245000
2,Exportaciones,2002,ABRIL,4,2546691000
2,Exportaciones,2002,MAYO,5,2596503000
2,Exportaciones,2002,JUNIO,6,2333782000
2,Exportaciones,2002,JULIO,7,2155556000
2,Exportaciones,2002,AGOSTO,8,2657880000
2,Exportaciones,2002,SEPTIEMBRE,9,2420342000
2,Exportaciones,2002,OCTUBRE,10,2493825000
2,Exportaciones,2002,NOVIEMBRE,11,2382812000
2,Exportaciones,2002,DICIEMBRE,12,1929796000
2,Exportaciones,2003,ENERO,1,2013961000
2,Exportaciones,2003,FEBRERO,2,2218175000
2,Exportaciones,2003,MARZO,3,2304130000
2,Exportaciones,2003,ABRIL,4,2237026000
2,Exportaciones,2003,MAYO,5,2453692000
2,Exportaciones,2003,JUNIO,6,2406795000
2,Exportaciones,2003,JULIO,7,2231271000
2,Exportaciones,2003,AGOSTO,8,2289872000
2,Exportaciones,2003,SEPTIEMBRE,9,2311658000
2,Exportaciones,2003,OCTUBRE,10,2534888000
2,Exportaciones,2003,NOVIEMBRE,11,2161094000
2,Exportaciones,2003,DICIEMBRE,12,2122307000
2,Exportaciones,2004,ENERO,1,1828869000
2,Exportaciones,2004,FEBRERO,2,2208344000
2,Exportaciones,2004,MARZO,3,2553218000
2,Exportaciones,2004,ABRIL,4,2347991000
2,Exportaciones,2004,MAYO,5,2489193000
2,Exportaciones,2004,JUNIO,6,2620369000
2,Exportaciones,2004,JULIO,7,2207634000
2,Exportaciones,2004,AGOSTO,8,2547058000
2,Exportaciones,2004,SEPTIEMBRE,9,2542844000
2,Exportaciones,2004,OCTUBRE,10,2730364000
2,Exportaciones,2004,NOVIEMBRE,11,2227204000
2,Exportaciones,2004,DICIEMBRE,12,2259492000
2,Exportaciones,2005,ENERO,1,1762695000
2,Exportaciones,2005,FEBRERO,2,2338073000
2,Exportaciones,2005,MARZO,3,2392476000
2,Exportaciones,2005,ABRIL,4,2579995000
2,Exportaciones,2005,MAYO,5,2719620000
2,Exportaciones,2005,JUNIO,6,2652881000
2,Exportaciones,2005,JULIO,7,2013228000
2,Exportaciones,2005,AGOSTO,8,2864502000
2,Exportaciones,2005,SEPTIEMBRE,9,2985385000
2,Exportaciones,2005,OCTUBRE,10,3073504000
2,Exportaciones,2005,NOVIEMBRE,11,3386025000
2,Exportaciones,2005,DICIEMBRE,12,3324055000
2,Exportaciones,2006,ENERO,1,3178993000
2,Exportaciones,2006,FEBRERO,2,3028118000
2,Exportaciones,2006,MARZO,3,3581206000
2,Exportaciones,2006,ABRIL,4,3166220000
2,Exportaciones,2006,MAYO,5,3422785000
2,Exportaciones,2006,JUNIO,6,3666855000
2,Exportaciones,2006,JULIO,7,2600478000
2,Exportaciones,2006,AGOSTO,8,3247239000
